"Freq [MHz]","((mag(V_out.v)*mag(I_out.i))/(mag(V_in.v)*mag(I_in.i)))*100 []"
6.0339,11.0190904273969
6.034,11.022773875581
6.0341,11.026458711156
6.0342,11.0301449346849
6.0343,11.0338325467307
6.0344,11.0375215478568
6.0345,11.0412119386267
6.0346,11.0449037196043
6.0347,11.0485968913534
6.0348,11.0522914544384
6.0349,11.0559874094237
6.035,11.0596847568741
6.0351,11.0633834973544
6.0352,11.0670836314297
6.0353,11.0707851596656
6.0354,11.0744880826275
6.0355,11.0781924008813
6.0356,11.081898114993
6.0357,11.085605225529
6.0358,11.0893137330557
6.0359,11.09302363814
6.036,11.0967349413487
6.0361,11.1004476432491
6.0362,11.1041617444085
6.0363,11.1078772453947
6.0364,11.1115941467756
6.0365,11.1153124491192
6.0366,11.1190321529938
6.0367,11.1227532589681
6.0368,11.1264757676109
6.0369,11.1301996794912
6.037,11.1339249951781
6.0371,11.1376517152413
6.0372,11.1413798402505
6.0373,11.1451093707755
6.0374,11.1488403073865
6.0375,11.152572650654
6.0376,11.1563064011486
6.0377,11.1600415594411
6.0378,11.1637781261026
6.0379,11.1675161017044
6.038,11.1712554868182
6.0381,11.1749962820156
6.0382,11.1787384878686
6.0383,11.1824821049496
6.0384,11.1862271338309
6.0385,11.1899735750853
6.0386,11.1937214292857
6.0387,11.1974706970053
6.0388,11.2012213788174
6.0389,11.2049734752956
6.039,11.2087269870138
6.0391,11.2124819145461
6.0392,11.2162382584668
6.0393,11.2199960193504
6.0394,11.2237551977716
6.0395,11.2275157943056
6.0396,11.2312778095275
6.0397,11.2350412440127
6.0398,11.2388060983371
6.0399,11.2425723730764
6.04,11.2463400688068
6.0401,11.2501091861048
6.0402,11.2538797255469
6.0403,11.25765168771
6.0404,11.2614250731711
6.0405,11.2651998825076
6.0406,11.268976116297
6.0407,11.2727537751171
6.0408,11.2765328595459
6.0409,11.2803133701616
6.041,11.2840953075427
6.0411,11.2878786722679
6.0412,11.291663464916
6.0413,11.2954496860664
6.0414,11.2992373362983
6.0415,11.3030264161914
6.0416,11.3068169263256
6.0417,11.3106088672809
6.0418,11.3144022396377
6.0419,11.3181970439764
6.042,11.321993280878
6.0421,11.3257909509234
6.0422,11.3295900546939
6.0423,11.333390592771
6.0424,11.3371925657363
6.0425,11.3409959741718
6.0426,11.3448008186598
6.0427,11.3486070997826
6.0428,11.3524148181228
6.0429,11.3562239742634
6.043,11.3600345687875
6.0431,11.3638466022784
6.0432,11.3676600753197
6.0433,11.3714749884952
6.0434,11.375291342389
6.0435,11.3791091375853
6.0436,11.3829283746687
6.0437,11.3867490542239
6.0438,11.3905711768358
6.0439,11.3943947430898
6.044,11.3982197535712
6.0441,11.4020462088658
6.0442,11.4058741095594
6.0443,11.4097034562382
6.0444,11.4135342494887
6.0445,11.4173664898973
6.0446,11.421200178051
6.0447,11.4250353145368
6.0448,11.4288718999422
